ticker,rating,score,sentiment,action,catalysts,risks,opportunities,reasoning
TRU,HOLD,48.22142857142857,bullish,watch,"management_change, foreign_investment",,"Innovation, Market Leadership","AI Analysis: BULLISH sentiment with 2 major catalysts. Average impact: 30/100, Confidence: 43%."
GLOBAL,REDUCE,42.33,bullish,hold,foreign_investment,,Innovation,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 18/100, Confidence: 50%."
IT,SELL,34.33333333333333,mixed,watch,management_change,Execution,Market Tailwind,"AI Analysis: MIXED sentiment with 1 major catalysts. Average impact: 20/100, Confidence: 43%."
KORE,SELL,23.25,mixed,hold,,,Innovation,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 46%."
TRUST,ACCUMULATE,57.0,mixed,watch,management_change,,,"AI Analysis: MIXED sentiment with 1 major catalysts. Average impact: 60/100, Confidence: 48%."
URBAN,SELL,24.0,mixed,hold,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 48%."
YATRA,SELL,28.75,mixed,hold,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 58%."
ATL,SELL,22.5,mixed,hold,,,Innovation,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 45%."
GNA,SELL,22.25,mixed,watch,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 44%."
OIL,SELL,20.75,mixed,watch,,,Innovation,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 42%."
BIL,STRONG BUY,84.07499999999999,bullish,buy,foreign_investment,,Innovation,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 90/100, Confidence: 51%."
RETAIL,STRONG BUY,84.07499999999999,bullish,buy,foreign_investment,,Innovation,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 90/100, Confidence: 51%."
STEL,ACCUMULATE,57.0,mixed,watch,management_change,Execution,Market Tailwind,"AI Analysis: MIXED sentiment with 1 major catalysts. Average impact: 60/100, Confidence: 48%."
CLEAN,STRONG BUY,84.07499999999999,bullish,buy,foreign_investment,,,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 90/100, Confidence: 51%."
FACT,SELL,26.5,mixed,hold,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 53%."
MOS,STRONG BUY,84.07499999999999,bullish,buy,foreign_investment,,,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 90/100, Confidence: 51%."
NH,SELL,20.0,mixed,watch,,,Innovation,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
PREMIUM,SELL,20.0,mixed,watch,,,"Innovation, Market Leadership","AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
PROV,SELL,20.0,mixed,watch,,,Innovation,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
RAIN,SELL,20.0,mixed,watch,,,Innovation,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
SERVICE,SELL,20.0,mixed,watch,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
SIL,STRONG BUY,78.32499999999999,bullish,buy,record_sales,,,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 80/100, Confidence: 51%."
SILVER,STRONG BUY,78.32499999999999,bullish,buy,record_sales,,,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 80/100, Confidence: 51%."
SIRCA,SELL,20.0,mixed,watch,,,Innovation,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
BEL,SELL,20.0,mixed,watch,,Execution,Innovation,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
BSE,SELL,20.0,mixed,watch,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
LT,SELL,20.0,mixed,watch,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
NMDC,SELL,23.0,mixed,watch,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 46%."
SYNGENE,BUY,70.85,bullish,watch,expansion,,Growth Expansion,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 70/100, Confidence: 48%."
TCS,SELL,20.0,mixed,watch,,,Innovation,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
