ticker,company_name,ai_score,certainty,articles_count,rejection_reason,headline,reasoning
PREMIUM,PREMIUM PLAST LIMITED,35.0,30,1,Certainty 30% below threshold (40%),United Spirits Q2 profit jumps 41% to Rs 472 crore on premium brand sales ,"Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
MEIL,MANGAL ELECTRICAL INDUSTRIES LIMITED,34.7,30,1,Certainty 30% below threshold (40%),MEIL Energy acquires 250-MW lignite-based power plant in Tamil Nadu for ₹926 cro,"Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
TAKE,TAKE SOLUTIONS LIMITED,34.6,30,1,Certainty 30% below threshold (40%),"Swiggy mulls Rs 10,000 cr fund raise via QIP; board to meet on Nov 7 to take a c","Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
BEML,BEML LIMITED,34.3,30,1,Certainty 30% below threshold (40%),BEML and DCIL sign ₹350 crore MoUs to enhance Dredging capabilities,"Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
RELIANCE,RELIANCE INDUSTRIES LIMITED,34.3,30,3,Certainty 30% below threshold (40%),Reliance and Google to offer 18-month free Google AI Pro access to Jio users; wo,"Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
DLF,DLF LIMITED,34.3,30,2,Certainty 30% below threshold (40%),"Lodha, DLF drive towards  ₹20,000 crore sales goal amid divergent Q2 profits","Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
WORTH,WORTH PERIPHERALS LIMITED,34.2,30,3,Certainty 30% below threshold (40%),Reliance and Google to offer 18-month free Google AI Pro access to Jio users; wo,"Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
NTPC,NTPC LIMITED,34.1,30,1,Certainty 30% below threshold (40%),"NTPC Q2 Results: Cons PAT declines 4% YoY to Rs 5,067 crore, revenue up marginal","Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
LODHA,LODHA DEVELOPERS LIMITED,33.6,30,2,Certainty 30% below threshold (40%),"Lodha, DLF drive towards  ₹20,000 crore sales goal amid divergent Q2 profits","Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
HYUNDAI,HYUNDAI MOTOR INDIA LIMITED,33.4,30,1,Certainty 30% below threshold (40%),"Hyundai Motor India Q2 profit rises 14% to Rs 1,572 crore on strong exports ","Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
ITC,ITC LIMITED,33.4,30,1,Certainty 30% below threshold (40%),"ITC Q2 net up 4.1% at ₹5,179.82 crore, revenue falls 2.4%","Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
COROMANDEL,COROMANDEL INTERNATIONAL LIMITED,32.6,30,1,Certainty 30% below threshold (40%),Coromandel Q2 PAT up at ₹793 crore,"Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
SWIGGY,SWIGGY LIMITED,32.5,30,1,Certainty 30% below threshold (40%),"Swiggy mulls Rs 10,000 cr fund raise via QIP; board to meet on Nov 7 to take a c","Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
