ticker,company_name,ai_score,certainty,articles_count,rejection_reason,headline,reasoning
CANBK,CANARA BANK,36.4,30,3,Certainty 30% below threshold (40%),"Canara Bank reports 19% profit increase at ₹4,774 crore despite declining intere",No relevant information found from Google Search.
PREMIUM,PREMIUM PLAST LIMITED,35.3,30,1,Certainty 30% below threshold (40%),United Spirits Q2 profit jumps 41% to Rs 472 crore on premium brand sales ,No relevant information found from Google Search.
TAKE,TAKE SOLUTIONS LIMITED,34.6,30,1,Certainty 30% below threshold (40%),"Swiggy mulls Rs 10,000 cr fund raise via QIP; board to meet on Nov 7 to take a c",No relevant information found from Google Search.
MEIL,MANGAL ELECTRICAL INDUSTRIES LIMITED,34.6,30,1,Certainty 30% below threshold (40%),MEIL Energy acquires 250-MW lignite-based power plant in Tamil Nadu for ₹926 cro,No relevant information found from Google Search.
WORTH,WORTH PERIPHERALS LIMITED,34.5,30,4,Certainty 30% below threshold (40%),"Visakhapatnam Port Authority inks MoUs worth ₹39,216 cr at IMW 2025",No relevant information found from Google Search.
BEML,BEML LIMITED,34.3,30,1,Certainty 30% below threshold (40%),BEML and DCIL sign ₹350 crore MoUs to enhance Dredging capabilities,No relevant information found from Google Search.
CIPLA,CIPLA LIMITED,34.2,30,2,Certainty 30% below threshold (40%),"Cipla Q2 results: Consolidated net profit rises 3.7% to ₹1,353 cr",No relevant information found from Google Search.
NTPC,NTPC LIMITED,34.1,30,1,Certainty 30% below threshold (40%),"NTPC Q2 Results: Cons PAT declines 4% YoY to Rs 5,067 crore, revenue up marginal",No relevant information found from Google Search.
ITC,ITC LIMITED,34.1,30,2,Certainty 30% below threshold (40%),"ITC Q2 net up 4.1% at ₹5,179.82 crore, revenue falls 2.4%",No relevant information found from Google Search.
RELIANCE,RELIANCE INDUSTRIES LIMITED,33.9,30,2,Certainty 30% below threshold (40%),RIL block deal: BofA buys over 2.9 lakh shares worth Rs 44 crore in Reliance Ind,No relevant information found from Google Search.
HYUNDAI,HYUNDAI MOTOR INDIA LIMITED,33.9,30,2,Certainty 30% below threshold (40%),"Hyundai Motor India Q2 Results: Cons profit jumps 14% YoY to Rs 1,572 crore; rev",No relevant information found from Google Search.
DLF,DLF LIMITED,33.8,30,1,Certainty 30% below threshold (40%),"DLF Q2 Results: Profit dips to Rs 1,171 crore but sales bookings stay robust ",No relevant information found from Google Search.
SWIGGY,SWIGGY LIMITED,33.7,30,3,Certainty 30% below threshold (40%),"Swiggy posts narrower sequential loss of ₹1,092 crore in the September quarter o",No relevant information found from Google Search.
LODHA,LODHA DEVELOPERS LIMITED,33.1,30,1,Certainty 30% below threshold (40%),"Lodha records Rs 4,570 crore pre-sales in Q2, net profit up 87% ",No relevant information found from Google Search.
COROMANDEL,COROMANDEL INTERNATIONAL LIMITED,32.6,30,1,Certainty 30% below threshold (40%),Coromandel Q2 PAT up at ₹793 crore,No relevant information found from Google Search.
