rank,ticker,ai_score,sentiment,recommendation,catalysts,risks,certainty,articles_count,quant_alpha,headline,reasoning
1,EXCEL,99.2,neutral,STRONG BUY,"earnings, M&A, investment, contract",,95,6,N/A,"Jindal Steel Profit & Loss account, Jindal Steel Financial Statement & Accounts - Moneycontrol",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. NEUTRAL sentiment.
2,ACCORD,99.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,5,N/A,Israel's parliament gives initial nod to occupied West Bank annexation - Moneycontrol,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
3,BLUECHIP,98.8,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,4,N/A,"Supply chain, e-waste issues can hit critical mineral plan - The Economic Times",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
4,IEL,97.5,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,2,N/A,IndiGo Kolkata-Srinagar flight makes emergency landing at Varanasi airport after fuel leak - Moneyco,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
5,ABAN,97.5,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,2,N/A,"Si Reporter - Read all News, Stories, Videos and Photos from Si Reporter - Business Standard",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
6,ACL,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,"Chelsea vs Ajax: Who will win Champions League clash? AI predictions, confirmed lineups, live stream",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
7,MEP,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Why did Garuda Construction share price zoom 9% in trade today? Find here - Business Standard,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
8,UMAEXPORTS,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Advance Chart - Moneycontrol - Moneycontrol,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
9,AAKASH,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,FC Goa vs Al Nassr AFC Champions League 2 live match time and streaming - Business Standard,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
10,AESTHETIK,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,aesthetik - Moneycontrol - Moneycontrol,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
