ticker,rating,score,sentiment,action,catalysts,risks,opportunities,reasoning
TRU,ACCUMULATE,55.378125,bullish,watch,"foreign_investment, management_change",Market,"Market Leadership, Innovation","AI Analysis: BULLISH sentiment with 2 major catalysts. Average impact: 41/100, Confidence: 45%."
RELIANCE,SELL,23.8,mixed,hold,,,"Market Tailwind, Innovation","AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 48%."
TRUST,ACCUMULATE,57.0,mixed,watch,management_change,,,"AI Analysis: MIXED sentiment with 1 major catalysts. Average impact: 60/100, Confidence: 48%."
IT,HOLD,52.71874999999999,bullish,buy,"management_change, record_sales",Execution,"Market Tailwind, Innovation","AI Analysis: BULLISH sentiment with 2 major catalysts. Average impact: 35/100, Confidence: 46%."
GLOBAL,HOLD,53.21666666666667,bullish,hold,foreign_investment,,,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 30/100, Confidence: 57%."
TECH,SELL,20.0,mixed,watch,,Execution,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
KORE,SELL,20.0,mixed,watch,,Market,Market Leadership,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
BIL,HOLD,54.175,bullish,watch,foreign_investment,,,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 45/100, Confidence: 44%."
URBAN,SELL,24.0,mixed,hold,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 48%."
YATRA,SELL,28.75,mixed,hold,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 58%."
GNA,SELL,22.25,mixed,watch,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 44%."
STEL,ACCUMULATE,57.0,mixed,watch,management_change,Execution,Market Tailwind,"AI Analysis: MIXED sentiment with 1 major catalysts. Average impact: 60/100, Confidence: 48%."
ATL,SELL,20.0,mixed,watch,,Competition,Innovation,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
BFSI,SELL,26.5,mixed,hold,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 53%."
CLEAN,STRONG BUY,84.07499999999999,bullish,buy,foreign_investment,,,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 90/100, Confidence: 51%."
DOLLAR,SELL,20.0,mixed,watch,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
EDELWEISS,ACCUMULATE,57.0,mixed,watch,management_change,,Innovation,"AI Analysis: MIXED sentiment with 1 major catalysts. Average impact: 60/100, Confidence: 48%."
EMBASSY,SELL,20.0,mixed,watch,,Execution,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
PREMIUM,SELL,20.0,mixed,watch,,,"Innovation, Market Leadership","AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
PROV,STRONG BUY,82.35,bullish,watch,foreign_investment,,Innovation,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 90/100, Confidence: 48%."
RAIN,SELL,20.0,mixed,watch,,,Innovation,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
STAR,STRONG BUY,88.1,bullish,buy,foreign_investment,,,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 90/100, Confidence: 58%."
SUMIT,ACCUMULATE,57.0,mixed,watch,management_change,,Innovation,"AI Analysis: MIXED sentiment with 1 major catalysts. Average impact: 60/100, Confidence: 48%."
ADANIENT,SELL,20.0,mixed,watch,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
BEL,STRONG BUY,77.175,bullish,buy,earnings_beat,,,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 75/100, Confidence: 54%."
BPCL,SELL,20.0,mixed,watch,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
CIPLA,SELL,20.0,mixed,watch,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
ITC,SELL,20.0,mixed,watch,,,Innovation,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
NTPC,SELL,20.0,mixed,watch,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
OIL,SELL,20.0,mixed,watch,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
ONGC,SELL,20.0,mixed,watch,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
PAYTM,STRONG BUY,84.07499999999999,bullish,buy,foreign_investment,,,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 90/100, Confidence: 51%."
PNB,SELL,21.5,mixed,watch,,Financial,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 43%."
TATAMOTORS,SELL,23.0,mixed,watch,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 46%."
TATASTEEL,SELL,20.0,mixed,watch,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
UPL,SELL,20.0,mixed,watch,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
